SNP	Chrom	BP
rs2383208	chr9	22132076
rs10965246	chr9	22132698
rs10965247	chr9	22132729
rs10965248	chr9	22132878
rs10965250	chr9	22133284
rs10811660	chr9	22134068
rs10811661	chr9	22134094
rs10811662	chr9	22134253
rs35487253	chr9	81937921
rs35468518	chr9	81938073
rs17791555	chr9	81938747
rs17199020	chr9	81938899
rs34701785	chr9	81939784
rs72732203	chr9	81943449
rs1328405	chr9	81944169
rs13297387	chr9	81944349
rs34940152	chr9	81947623
rs34132006	chr9	81947831
rs34143926	chr9	81948891
rs34434701	chr9	81949031
rs34093956	chr9	81951273
rs35470461	chr9	81951692
rs13292136	chr9	81952128
rs34029654	chr9	81954187
rs7077792	chr10	12316768
rs6602570	chr10	12320571
rs7394200	chr10	12321633
rs12779790	chr10	12328010
rs1802295	chr10	70931474
rs10998639	chr10	70967081
rs4746821	chr10	70968199
rs10882098	chr10	94444793
rs11187138	chr10	94460281
rs10882099	chr10	94460650
rs10882101	chr10	94462427
rs1111875	chr10	94462882
rs1977832	chr10	94463779
rs1977833	chr10	94463945
rs11309330	chr10	94463962
rs5015480	chr10	94465559
rs11187139	chr10	94466427
rs10882102	chr10	94466495
rs34872471	chr10	114754071
rs35198068	chr10	114754784
rs7903146	chr10	114758349
rs11297190	chr10	121144216
rs10886471	chr10	121149403
rs10886472	chr10	121151512
rs11198904	chr10	121152795
rs11198907	chr10	121157630
rs7480855	chr11	2836085
rs2237892	chr11	2839751
rs1557765	chr11	17403639
rs10734252	chr11	17404839
rs1002226	chr11	17405617
rs5213	chr11	17408404
rs5215	chr11	17408630
rs5219	chr11	17409572
rs2074314	chr11	17411821
rs4148646	chr11	17415190
rs12289711	chr11	41909977
rs9804537	chr11	41911274
rs12288738	chr11	41912299
rs1588439	chr11	41914606
rs9300039	chr11	41915366
rs11036622	chr11	41916166
rs7942415	chr11	41918016
rs12787647	chr11	41919024
rs12285430	chr11	41919963
rs11036625	chr11	41922572
rs7119926	chr11	41923642
rs76550717	chr11	72428172
rs75896506	chr11	72429579
rs140717197	chr11	72429796
rs11603334	chr11	72432985
rs1552224	chr11	72433098
rs1387153	chr11	92673828
rs2121648	chr11	92679433
rs10830956	chr11	92681013
rs10765572	chr11	92681234
rs10830959	chr11	92685116
rs11020124	chr11	92690661
rs10894076	chr11	129463060
rs113103254	chr11	129463115
rs12285545	chr11	129464443
rs7102282	chr11	129472259
rs35035176	chr11	129473163
rs7107217	chr11	129473690
rs1873872	chr11	129473993
rs7936804	chr11	129474773
rs11343513	chr11	129474903
rs7119897	chr11	129476405
rs11171026	chr12	55093437
rs1153188	chr12	55098996
rs1153189	chr12	55100491
rs1153190	chr12	55100536
rs1250444	chr12	55101400
rs1249988	chr12	55105458
rs1249954	chr12	55106085
rs2612067	chr12	66170163
rs2583922	chr12	66170577
rs2884591	chr12	66171053
rs2358949	chr12	66171055
rs2260548	chr12	66171361
rs2583923	chr12	66173307
rs2260622	chr12	66173546
rs2358950	chr12	66173668
rs2612076	chr12	66174429
rs2612077	chr12	66174494
rs1122590	chr12	66174856
rs1531343	chr12	66174894
rs2884592	chr12	66175743
rs1353361	chr12	71608199
rs1390202	chr12	71609409
rs1353362	chr12	71613276
rs7306184	chr12	71618203
rs4760915	chr12	71634112
rs4760790	chr12	71634794
rs6581998	chr12	71656723
rs4760920	chr12	71662289
rs4760921	chr12	71662567
rs7961581	chr12	71663102
rs7305618	chr12	121402932
rs67075643	chr12	121410168
rs34565150	chr12	121429901
rs55834942	chr12	121437114
rs55879344	chr12	121444996
rs11065394	chr12	121446922
rs12425790	chr12	121452504
rs7131696	chr12	121459344
rs7957197	chr12	121460686
rs61953352	chr12	121463035
rs112508908	chr12	121466422
rs7965349	chr12	121471931
rs9552911	chr13	23864657
rs11616380	chr13	80705315
rs1215470	chr13	80706455
rs1215468	chr13	80707429
rs1327315	chr13	80708732
rs1215466	chr13	80708940
rs1327316	chr13	80709063
rs12428731	chr13	80709595
rs9565546	chr13	80710954
rs1215451	chr13	80715893
rs1359790	chr13	80717156
rs57034237	chr15	38820606
rs11073333	chr15	38820647
rs11073334	chr15	38821150
rs7403531	chr15	38822905
rs7163757	chr15	62391608
rs8037894	chr15	62394264
rs8038040	chr15	62394339
rs6494307	chr15	62394690
rs7161785	chr15	62395224
rs7167878	chr15	62396189
rs7167932	chr15	62396278
rs7172432	chr15	62396389
rs7173964	chr15	62396942
rs4775466	chr15	62397118
rs4775467	chr15	62397398
rs10083587	chr15	62398533
rs11856307	chr15	62399093
rs34591043	chr15	77713586
rs8024485	chr15	77718368
rs1565756	chr15	77741640
rs7178572	chr15	77747190
rs11633054	chr15	77747276
rs2055901	chr15	77759295
rs8034133	chr15	77763712
rs6495240	chr15	77766556
rs12324627	chr15	77767539
rs952471	chr15	77776498
rs952472	chr15	77776562
rs965480	chr15	77781926
rs12910361	chr15	77782335
rs1022172	chr15	77793359
rs59959094	chr15	80417302
rs3858955	chr15	80420525
rs4778582	chr15	80420966
rs11633530	chr15	80426454
rs7172637	chr15	80428575
rs7175982	chr15	80428743
rs11634397	chr15	80432222
rs62006325	chr15	80433475
rs4778755	chr15	80437870
rs4932143	chr15	90372067
rs4932144	chr15	90372102
rs7111	chr15	90373873
rs2028299	chr15	90374257
rs6496609	chr15	90379632
rs8031576	chr15	90380214
rs748508	chr15	90381258
rs893617	chr15	90381278
rs3960018	chr15	90383307
rs2351707	chr15	90384045
rs2351706	chr15	90384115
rs7174644	chr15	90385868
rs4508401	chr15	91514721
rs11853024	chr15	91514797
rs1443256	chr15	91516015
rs12898311	chr15	91517780
rs36074798	chr15	91518800
rs8031915	chr15	91519291
rs8037254	chr15	91520099
rs12595029	chr15	91520159
rs12593261	chr15	91520319
rs4544218	chr15	91520373
rs8042680	chr15	91521337
rs7167128	chr15	91521898
rs6496743	chr15	91528358
rs6496747	chr15	91536627
rs3751812	chr16	53818460
rs3751814	chr16	53818724
rs56313538	chr16	53818834
rs9936385	chr16	53819169
rs9923233	chr16	53819198
rs9923312	chr16	53819367
rs11075988	chr16	53819771
rs11075989	chr16	53819877
rs11075990	chr16	53819893
rs11075991	chr16	53819937
rs11075992	chr16	53820066
rs9926289	chr16	53820503
rs9939609	chr16	53820527
rs75581834	chr16	81486440
rs13333580	chr16	81488372
rs16955379	chr16	81489373
rs12596103	chr16	81490553
rs12596138	chr16	81490749
rs192476773	chr16	81496058
rs2306115	chr16	81508469
rs16955417	chr16	81508633
rs117521511	chr16	81509598
rs117788931	chr16	81509713
rs9932863	chr16	81514750
rs13330589	chr16	81515377
rs75102891	chr16	81516428
rs364584	chr17	2211416
rs505744	chr17	2211498
rs510151	chr17	2211917
rs66529059	chr17	2213409
rs36113682	chr17	2214331
rs391300	chr17	2216258
rs199524884	chr17	2220814
rs11263761	chr17	36097775
rs4430796	chr17	36098040
rs11651755	chr17	36099840
rs10908278	chr17	36099952
rs8064454	chr17	36101586
rs11651052	chr17	36102381
rs11263763	chr17	36103565
rs7234111	chr18	7067652
rs8090011	chr18	7068462
rs7234998	chr18	7068724
rs7240767	chr18	7070642
rs10083952	chr18	7073590
rs8093592	chr18	7074515
rs10678867	chr18	7074853
rs9966842	chr18	7075020
rs12454658	chr18	7076061
rs7228959	chr18	7076464
rs9948462	chr18	7076836
rs889138	chr19	33892409
rs3786897	chr19	33893008
rs8107837	chr19	33893451
rs3786898	chr19	33894043
rs10403360	chr19	33896195
rs3786901	chr19	33897478
rs12480812	chr20	42940886
rs6031507	chr20	42941628
rs6073402	chr20	42942809
rs6017316	chr20	42944612
rs6017317	chr20	42946966
rs6073404	chr20	42949570
rs6031521	chr20	42951010

